2019-12-27,62113562
2019-12-30,73085482
2020-01-02,45886302
2020-01-03,91189705
2020-01-06,48648450
2020-01-07,114344885
2020-01-08,188929583
2020-01-09,79280569
2020-01-10,137292491
2020-01-13,122488655
2020-01-14,174258629
2020-01-15,112825318
2020-01-16,147387255
2020-01-17,133295352
2020-01-20,90022804
2020-01-21,81224962
2020-01-22,90609115
2020-01-23,153849977
2020-01-24,105620964
2020-01-27,103076840
2020-01-28,104935872
2020-01-29,214362682
2020-01-30,96500596
2020-01-31,150763654
2020-02-03,144745560
2020-02-04,123617275
2020-02-05,100395764
2020-02-06,104342852
2020-02-07,146349277
2020-02-10,187982906
2020-02-11,93666727
2020-02-12,143167912
2020-02-13,87683284
2020-02-14,139707803
2020-02-17,131738165
2020-02-18,97565635
2020-02-19,110893685
2020-02-20,108000305
2020-02-21,117658802
2020-02-24,113200755
2020-02-25,125324724
2020-02-26,164120194
2020-02-27,227877075
2020-02-28,211162617
2020-03-02,206428685
2020-03-03,218258509
2020-03-04,127937929
2020-03-05,146949558
2020-03-06,175334118
2020-03-09,163934401
2020-03-10,182576203
2020-03-11,195275262
2020-03-12,167137546
2020-03-13,295725807
2020-03-16,196265939
2020-03-17,229429422
2020-03-18,272919333
2020-03-19,151744210
2020-03-20,658210668
2020-03-23,180848183
2020-03-24,544651637
2020-03-26,698059077
2020-03-27,529032687
2020-03-30,239264252
2020-03-31,346502244
2020-04-01,298923123
2020-04-02,329876337
2020-04-03,322467159
2020-04-06,313615306
2020-04-07,445935822
2020-04-08,322246825
2020-04-09,292370749
2020-04-13,136106890
2020-04-14,241711574
2020-04-15,351010672
2020-04-16,404530667
2020-04-17,442565694
2020-04-20,244213568
2020-04-21,146163154
2020-04-22,197501041
2020-04-23,237791877
2020-04-24,323088010
2020-04-27,200872709
2020-04-28,295130807
2020-04-29,230054013
2020-04-30,475289499
2020-05-04,220673601
2020-05-05,203241160
2020-05-06,190361478
2020-05-08,226345299
2020-05-11,170062057
