Date,Low
2019-01-01,3327.21533203125
2019-01-02,3263.580078125
2019-01-03,3254.4892578125
2019-01-04,3281.761474609375
2019-01-07,3327.21533203125
2019-01-08,3299.943115234375
2019-01-09,3354.487548828125
2019-01-10,3372.6689453125
2019-01-11,3363.578369140625
2019-01-14,3390.8505859375
2019-01-15,3399.941162109375
2019-01-16,3418.122802734375
2019-01-17,3436.30419921875
2019-01-18,3445.39501953125
2019-01-21,3454.48583984375
2019-01-22,3399.941162109375
2019-01-23,3390.8505859375
2019-01-24,3409.031982421875
2019-01-25,3436.30419921875
2019-01-28,3409.031982421875
2019-01-29,3318.12451171875
2019-01-30,3363.578369140625
2019-01-31,3454.48583984375
2019-02-01,3518.12109375
2019-02-04,3536.302490234375
2019-02-05,3545.393310546875
2019-02-06,3554.484130859375
2019-02-07,3536.302490234375
2019-02-08,3499.939453125
2019-02-11,3509.0302734375
2019-02-12,3472.667236328125
2019-02-13,3436.30419921875
2019-02-14,3409.031982421875
2019-02-15,3409.031982421875
2019-02-18,3445.39501953125
2019-02-19,3527.2119140625
2019-02-20,3509.0302734375
2019-02-21,3481.758056640625
2019-02-22,3509.0302734375
2019-02-25,3545.393310546875
2019-02-26,3554.484130859375
2019-02-27,3499.939453125
2019-02-28,3490.848876953125
2019-03-01,3509.0302734375
2019-03-04,3527.2119140625
2019-03-05,3509.0302734375
2019-03-06,3509.0302734375
2019-03-07,3545.393310546875
2019-03-08,3463.576416015625
2019-03-11,3481.758056640625
2019-03-12,3463.576416015625
2019-03-13,3436.30419921875
2019-03-14,3436.30419921875
2019-03-15,3536.302490234375
2019-03-18,3618.119384765625
2019-03-19,3609.028564453125
2019-03-20,3599.937744140625
2019-03-21,3609.028564453125
2019-03-22,3636.30078125
2019-03-25,3627.2099609375
2019-03-26,3645.3916015625
2019-03-27,3672.663818359375
2019-03-28,3663.572998046875
2019-03-29,3681.754638671875
2019-04-01,3754.480712890625
2019-04-02,3754.480712890625
2019-04-03,3772.662109375
2019-04-04,3763.5712890625
2019-04-05,3863.569580078125
2019-04-08,3827.20654296875
2019-04-09,3872.660400390625
