Date,Open
2019-01-01,3687.5
2019-01-02,3700.0
2019-01-03,3637.5
2019-01-04,3587.5
2019-01-07,3750.0
2019-01-08,3712.5
2019-01-09,3750.0
2019-01-10,3812.5
2019-01-11,3875.0
2019-01-14,3875.0
2019-01-15,3875.0
2019-01-16,3900.0
2019-01-17,3900.0
2019-01-18,3950.0
2019-01-21,3912.5
2019-01-22,3862.5
2019-01-23,3787.5
2019-01-24,3737.5
2019-01-25,3737.5
2019-01-28,3687.5
2019-01-29,3587.5
2019-01-30,3562.5
2019-01-31,3662.5
2019-02-01,3750.0
2019-02-04,3750.0
2019-02-05,3675.0
2019-02-06,3725.0
2019-02-07,3737.5
2019-02-08,3750.0
2019-02-11,3800.0
2019-02-12,3837.5
2019-02-13,3712.5
2019-02-14,3675.0
2019-02-15,3575.0
2019-02-18,3650.0
2019-02-19,3637.5
2019-02-20,3625.0
2019-02-21,3562.5
2019-02-22,3637.5
2019-02-25,3575.0
2019-02-26,3637.5
2019-02-27,3600.0
2019-02-28,3612.5
2019-03-01,3575.0
2019-03-04,3587.5
2019-03-05,3525.0
2019-03-06,3500.0
2019-03-07,3537.5
2019-03-08,3525.0
2019-03-11,3475.0
2019-03-12,3412.5
2019-03-13,3400.0
2019-03-14,3400.0
2019-03-15,3462.5
2019-03-18,3575.0
2019-03-19,3587.5
2019-03-20,3700.0
2019-03-21,3750.0
2019-03-22,3737.5
2019-03-25,3625.0
2019-03-26,3637.5
2019-03-27,3712.5
2019-03-28,3650.0
2019-03-29,3700.0
2019-04-01,3750.0
2019-04-02,3762.5
2019-04-03,3712.5
2019-04-04,3750.0
2019-04-05,3837.5
2019-04-08,3800.0
2019-04-09,3787.5
2019-04-10,3825.0
2019-04-11,3787.5
2019-04-12,3675.0
2019-04-15,3700.0
2019-04-16,3687.5
2019-04-17,3812.5
2019-04-18,3900.0
2019-04-19,3900.0
2019-04-22,3900.0
2019-04-23,3850.0
2019-04-24,3850.0
2019-04-25,3825.0
2019-04-26,3775.0
2019-04-29,3850.0
2019-04-30,3912.5
2019-05-01,3862.5
2019-05-02,3850.0
2019-05-03,3850.0
2019-05-06,3750.0
2019-05-07,3837.5
2019-05-08,3750.0
2019-05-09,3725.0
2019-05-10,3775.0
2019-05-13,3787.5
2019-05-14,3725.0
2019-05-15,3762.5
2019-05-16,3675.0
2019-05-17,3750.0
2019-05-20,3500.0
2019-05-21,3637.5
2019-05-22,3662.5
2019-05-23,3675.0
2019-05-24,3800.0
2019-05-27,3800.0
2019-05-28,3850.0
2019-05-29,3725.0
2019-05-30,3775.0
2019-05-31,3800.0
2019-06-03,3837.5
2019-06-04,3837.5
2019-06-05,3837.5
2019-06-06,3837.5
2019-06-07,3837.5
2019-06-10,3925.0
2019-06-11,3937.5
2019-06-12,3950.0
2019-06-13,3937.5
2019-06-14,3937.5
2019-06-17,3950.0
2019-06-18,3887.5
2019-06-19,3950.0
2019-06-20,4000.0
2019-06-21,4000.0
2019-06-24,3950.0
2019-06-25,4012.5
2019-06-26,3925.0
2019-06-27,3987.5
2019-06-28,4012.5
2019-07-01,4025.0
2019-07-02,4025.0
2019-07-03,3975.0
2019-07-04,4025.0
2019-07-05,3962.5
2019-07-08,3875.0
2019-07-09,3912.5
2019-07-10,3975.0
2019-07-11,4012.5
2019-07-12,4025.0
2019-07-15,4075.0
2019-07-16,4037.5
2019-07-17,4000.0
2019-07-18,3950.0
2019-07-19,3900.0
2019-07-22,3900.0
2019-07-23,3912.5
2019-07-24,3850.0
2019-07-25,3862.5
2019-07-26,3825.0
2019-07-29,3912.5
2019-07-30,3900.0
2019-07-31,3937.5
2019-08-01,3937.5
2019-08-02,3850.0
2019-08-05,3800.0
2019-08-06,3650.0
2019-08-07,3637.5
2019-08-08,3725.0
2019-08-09,3750.0
2019-08-12,3750.0
2019-08-13,3775.0
2019-08-14,3750.0
2019-08-15,3675.0
2019-08-16,3700.0
2019-08-19,3725.0
2019-08-20,3712.5
2019-08-21,3662.5
2019-08-22,3650.0
2019-08-23,3625.0
2019-08-26,3550.0
2019-08-27,3525.0
2019-08-28,3512.5
2019-08-29,3525.0
2019-08-30,3562.5
2019-09-02,3612.5
2019-09-03,3587.5
2019-09-04,3487.5
2019-09-05,3500.0
2019-09-06,3512.5
2019-09-09,3537.5
2019-09-10,3450.0
2019-09-11,3500.0
2019-09-12,3625.0
2019-09-13,3612.5
2019-09-16,3525.0
2019-09-17,3462.5
2019-09-18,3537.5
2019-09-19,3587.5
2019-09-20,3550.0
2019-09-23,3525.0
2019-09-24,3462.5
2019-09-25,3487.5
2019-09-26,3500.0
2019-09-27,3500.0
2019-09-30,3450.0
2019-10-01,3450.0
2019-10-02,3437.5
2019-10-03,3262.5
2019-10-04,3225.0
2019-10-07,3237.5
2019-10-08,3175.0
2019-10-09,3225.0
2019-10-10,3212.5
2019-10-11,3250.0
2019-10-14,3312.5
2019-10-15,3275.0
2019-10-16,3300.0
2019-10-17,3312.5
2019-10-18,3337.5
2019-10-21,3400.0
2019-10-22,3425.0
2019-10-23,3412.5
2019-10-24,3562.5
2019-10-25,3637.5
2019-10-28,3500.0
2019-10-29,3550.0
2019-10-30,3537.5
2019-10-31,3525.0
2019-11-01,3512.5
2019-11-04,3500.0
2019-11-05,3475.0
2019-11-06,3587.5
2019-11-07,3512.5
2019-11-08,3487.5
2019-11-11,3537.5
2019-11-12,3500.0
2019-11-13,3500.0
2019-11-14,3437.5
2019-11-15,3462.5
2019-11-18,3475.0
2019-11-19,3512.5
2019-11-20,3575.0
2019-11-21,3500.0
2019-11-22,3550.0
2019-11-25,3500.0
2019-11-26,3500.0
2019-11-27,3412.5
2019-11-28,3425.0
2019-11-29,3387.5
2019-12-02,3487.5
2019-12-03,3525.0
2019-12-04,3537.5
2019-12-05,3550.0
2019-12-06,3600.0
2019-12-09,3600.0
2019-12-10,3600.0
2019-12-11,3675.0
2019-12-12,3662.5
2019-12-13,3700.0
2019-12-16,3675.0
2019-12-17,3675.0
2019-12-18,3675.0
2019-12-19,3762.5
2019-12-20,3775.0
2019-12-23,3900.0
2019-12-26,3887.5
2019-12-27,3912.5
2019-12-30,3862.5
2020-01-02,3837.5
2020-01-03,3875.0
2020-01-06,3825.0
2020-01-07,3862.5
2020-01-08,3775.0
2020-01-09,3775.0
2020-01-10,3850.0
2020-01-13,3862.5
2020-01-14,3900.0
2020-01-15,3875.0
2020-01-16,3800.0
2020-01-17,3787.5
2020-01-20,3900.0
2020-01-21,3875.0
2020-01-22,3875.0
2020-01-23,3900.0
2020-01-24,3912.5
2020-01-27,3975.0
2020-01-28,3825.0
2020-01-29,3912.5
2020-01-30,3900.0
2020-01-31,3837.5
2020-02-03,3700.0
2020-02-04,3800.0
2020-02-05,3800.0
2020-02-06,3900.0
2020-02-07,3837.5
2020-02-10,3850.0
2020-02-11,3862.5
2020-02-12,3912.5
2020-02-13,3912.5
2020-02-14,3875.0
2020-02-17,3925.0
2020-02-18,3900.0
2020-02-19,3925.0
2020-02-20,4012.5
2020-02-21,3975.0
2020-02-24,3900.0
2020-02-25,3887.5
2020-02-26,3875.0
2020-02-27,3825.0
2020-02-28,3375.0
2020-03-02,3575.0
2020-03-03,3550.0
2020-03-04,3625.0
2020-03-05,3775.0
2020-03-06,3700.0
2020-03-09,3500.0
2020-03-10,3325.0
2020-03-11,3462.5
2020-03-12,3237.5
2020-03-13,3100.0
2020-03-16,3175.0
2020-03-17,2962.5
2020-03-18,2800.0
2020-03-19,2500.0
2020-03-20,2370.0
2020-03-23,2175.0
2020-03-24,2075.0
2020-03-26,1900.0
2020-03-27,2255.0
2020-03-30,2420.0
2020-03-31,2325.0
2020-04-01,2325.0
2020-04-02,2285.0
2020-04-03,2400.0
2020-04-06,2512.5
2020-04-07,2700.0
2020-04-08,2587.5
2020-04-09,2400.0
2020-04-13,2340.0
2020-04-14,2240.0
2020-04-15,2320.0
2020-04-16,2200.0
2020-04-17,2110.0
2020-04-20,2225.0
2020-04-21,2185.0
2020-04-22,2165.0
2020-04-23,2245.0
2020-04-24,2250.0
2020-04-27,2155.0
2020-04-28,2095.0
2020-04-29,2100.0
2020-04-30,2035.0
2020-05-04,2230.0
2020-05-05,2150.0
2020-05-06,2125.0
2020-05-08,2100.0
2020-05-11,2140.0
2020-05-12,2115.0
2020-05-13,1995.0
2020-05-14,1985.0
2020-05-15,1975.0
2020-05-18,1900.0
2020-05-19,1880.0
2020-05-20,1925.0
2020-05-26,2065.0
2020-05-27,2075.0
2020-05-28,2075.0
2020-05-29,2145.0
2020-06-02,2275.0
2020-06-03,2335.0
2020-06-04,2450.0
2020-06-05,2365.0
2020-06-08,2500.0
2020-06-09,2650.0
2020-06-10,2600.0
2020-06-11,2400.0
2020-06-12,2295.0
2020-06-15,2425.0
2020-06-16,2410.0
2020-06-17,2550.0
2020-06-18,2420.0
