Date,Open
2019-01-02,5200.0
2019-01-03,5200.0
2019-01-04,5175.0
2019-01-07,5265.0
2019-01-08,5230.0
2019-01-09,5300.0
2019-01-10,5300.0
2019-01-11,5280.0
2019-01-14,5220.0
2019-01-15,5230.0
2019-01-16,5260.0
2019-01-17,5290.0
2019-01-18,5340.0
2019-01-21,5425.0
2019-01-22,5600.0
2019-01-23,5600.0
2019-01-24,5430.0
2019-01-25,5400.0
2019-01-28,5515.0
2019-01-29,5445.0
2019-01-30,5560.0
2019-01-31,5520.0
2019-02-01,5680.0
2019-02-04,5635.0
2019-02-06,5500.0
2019-02-07,5535.0
2019-02-08,5530.0
2019-02-11,5520.0
2019-02-12,5530.0
2019-02-13,5460.0
2019-02-14,5405.0
2019-02-15,5360.0
2019-02-18,5410.0
2019-02-19,5420.0
2019-02-20,5450.0
2019-02-21,5540.0
2019-02-22,5475.0
2019-02-25,5490.0
2019-02-26,5500.0
2019-02-27,5565.0
2019-02-28,5570.0
2019-03-01,5565.0
2019-03-04,5520.0
2019-03-05,5500.0
2019-03-06,5555.0
2019-03-08,5545.0
2019-03-11,5530.0
2019-03-12,5540.0
2019-03-13,5450.0
2019-03-14,5450.0
2019-03-15,5520.0
2019-03-18,5555.0
2019-03-19,5540.0
2019-03-20,5540.0
2019-03-21,5490.0
2019-03-22,5465.0
2019-03-25,5440.0
2019-03-26,5480.0
2019-03-27,5510.0
2019-03-28,5460.0
2019-03-29,5515.0
2019-04-01,5550.0
2019-04-02,5530.0
2019-04-04,5540.0
2019-04-05,5560.0
2019-04-08,5505.0
2019-04-09,5535.0
2019-04-10,5550.0
2019-04-11,5560.0
2019-04-12,5460.0
2019-04-15,5560.0
2019-04-16,5495.0
2019-04-18,5600.0
2019-04-22,5625.0
2019-04-23,5680.0
2019-04-24,5640.0
2019-04-25,5535.0
2019-04-26,5585.0
2019-04-29,5610.0
2019-04-30,5670.0
2019-05-02,5800.0
2019-05-03,5680.0
2019-05-06,5600.0
2019-05-07,5675.0
2019-05-08,5600.0
2019-05-09,5700.0
2019-05-10,5610.0
2019-05-13,5680.0
2019-05-14,5560.0
2019-05-15,5555.0
2019-05-16,5460.0
