Date,Volume
2020-01-14,93582000
2020-01-15,75623500
2020-01-16,88931500
2020-01-17,38249500
2020-01-20,93554500
2020-01-21,103984500
2020-01-22,94311500
2020-01-23,87728000
2020-01-24,69653500
2020-01-27,39679000
2020-01-28,82615000
2020-01-29,43821000
2020-01-30,71990000
2020-01-31,163136500
2020-02-03,149797000
2020-02-04,113316500
2020-02-05,123002500
2020-02-06,154693500
2020-02-07,82609000
2020-02-10,66578500
2020-02-11,77526500
2020-02-12,69971500
2020-02-13,49737000
2020-02-14,147028500
2020-02-17,115319000
2020-02-18,98436500
2020-02-19,74594000
2020-02-20,136724500
2020-02-21,98261000
2020-02-24,84910000
2020-02-25,86446500
2020-02-26,92824500
2020-02-27,129254500
2020-02-28,169946500
2020-03-02,144871500
2020-03-03,114663500
2020-03-04,83025000
2020-03-05,77583000
2020-03-06,77835500
2020-03-09,140889500
2020-03-10,133667000
2020-03-11,93204500
2020-03-12,129845500
2020-03-17,212200000
2020-03-18,180053500
2020-03-19,264419000
2020-03-20,335132000
2020-03-23,217843500
2020-03-24,253971000
2020-03-26,331633000
2020-03-27,269683000
2020-03-30,159964500
2020-03-31,182638500
2020-04-01,152831500
2020-04-02,136623500
2020-04-03,110506000
2020-04-06,78184000
2020-04-07,149153500
2020-04-08,106111500
2020-04-09,89997000
2020-04-13,58043000
2020-04-14,95796000
2020-04-15,95342000
2020-04-16,176990500
2020-04-17,160935500
2020-04-20,90744000
2020-04-21,73431000
2020-04-22,107263500
2020-04-23,105419500
2020-04-24,131149500
2020-04-27,151103500
2020-04-28,180488000
2020-04-29,121161000
2020-04-30,174081000
2020-05-04,114497500
2020-05-05,118643500
2020-05-06,86395500
2020-05-08,123028000
2020-05-11,40615500
2020-05-12,118660000
2020-05-13,94973000
2020-05-14,131268000
2020-05-15,205790000
2020-05-18,139997500
2020-05-19,128504500
2020-05-20,119158000
2020-05-26,176076500
2020-05-27,151753500
2020-05-28,229233000
2020-05-29,399414000
2020-06-02,181369500
2020-06-03,279673500
2020-06-04,236158500
2020-06-05,88157500
2020-06-08,173557500
2020-06-09,100110000
2020-06-10,115382500
2020-06-11,85187500
2020-06-12,96044000
2020-06-15,100844500
2020-06-16,91518500
2020-06-17,79800000
2020-06-18,68032000
2020-06-19,110071000
2020-06-22,51590500
2020-06-23,69954000
2020-06-24,57333000
2020-06-25,51415000
2020-06-26,57467500
2020-06-29,48796500
2020-06-30,74474000
2020-07-01,63959000
2020-07-02,75585500
2020-07-03,52219000
2020-07-06,67800000
2020-07-07,74168000
2020-07-08,106444500
2020-07-09,93543500
2020-07-10,67224000
2020-07-13,86006000
2020-07-14,45616500
2020-07-15,61468000
2020-07-16,66520500
2020-07-17,73348000
2020-07-20,59794500
2020-07-21,84159500
2020-07-22,44725500
2020-07-23,84026500
2020-07-24,58366500
2020-07-27,41972500
2020-07-28,65279000
2020-07-29,50262500
2020-07-30,80533500
2020-08-03,137079000
2020-08-04,79357000
2020-08-05,49393000
2020-08-06,55258500
2020-08-07,43621000
2020-08-10,37774500
2020-08-11,38795500
2020-08-12,35612000
2020-08-13,48581000
2020-08-14,57316000
2020-08-18,81563500
2020-08-19,58793500
2020-08-24,66882500
2020-08-25,49211000
2020-08-26,42983000
2020-08-27,68326000
2020-08-28,52292500
2020-08-31,97032000
2020-09-01,67446000
2020-09-02,66065000
2020-09-03,68208500
2020-09-04,80613500
2020-09-07,64249500
2020-09-08,39649000
2020-09-09,49285000
2020-09-10,175735000
2020-09-11,403032500
2020-09-14,138115000
2020-09-15,170087000
2020-09-16,158565500
2020-09-17,138796000
2020-09-18,316912000
2020-09-21,112443000
2020-09-22,163442500
2020-09-23,100517000
2020-09-24,88618500
2020-09-25,100705000
2020-09-28,93522000
2020-09-29,117778500
2020-09-30,107377000
2020-10-01,56893000
2020-10-02,66848000
2020-10-05,58291000
2020-10-06,141955500
2020-10-07,89937500
2020-10-08,77384500
2020-10-09,54250500
2020-10-12,82918500
2020-10-13,48250500
2020-10-14,83117500
2020-10-15,82067000
2020-10-16,89051500
2020-10-19,56871500
2020-10-20,74995500
2020-10-21,77944000
2020-10-22,96872500
2020-10-23,66328000
2020-10-26,70452500
2020-10-27,89482000
2020-11-02,151006500
2020-11-03,78152000
2020-11-04,78626000
2020-11-05,161090000
2020-11-06,137303500
2020-11-09,82739500
2020-11-10,191073500
2020-11-11,131383500
2020-11-12,83082500
2020-11-13,82374500
2020-11-16,54905000
2020-11-17,119784000
2020-11-18,99789000
2020-11-19,147346500
2020-11-20,68468500
2020-11-23,75265500
2020-11-24,72349500
2020-11-25,170140500
2020-11-26,64339000
2020-11-27,87361500
2020-11-30,393091500
2020-12-01,114563500
2020-12-02,93897500
2020-12-03,98210000
2020-12-04,64995500
2020-12-07,96636000
2020-12-08,70561500
2020-12-10,151420500
2020-12-11,214160000
2020-12-14,179785500
2020-12-15,164024500
2020-12-16,138674000
2020-12-17,91920000
2020-12-18,147238500
2020-12-21,93692500
2020-12-22,61790500
2020-12-23,76948000
2020-12-28,60234000
2020-12-29,34212500
2020-12-30,52675500
2021-01-04,47937000
2021-01-05,104831000
2021-01-06,89753500
2021-01-07,71360000
2021-01-08,75033500
2021-01-11,169034500
2021-01-12,95235000
2021-01-13,76581500
2021-01-14,89319500
2021-01-15,89853500
2021-01-18,86343000
2021-01-19,73777000
2021-01-20,107216000
2021-01-21,66428000
2021-01-22,80829000
2021-01-25,76836500
2021-01-26,98658000
2021-01-27,97920000
2021-01-28,104627000
2021-01-29,132762500
2021-02-01,113129000
2021-02-02,86741000
2021-02-03,67291000
2021-02-04,80950500
2021-02-05,51602000
2021-02-08,45604000
2021-02-09,75574000
2021-02-10,44984500
2021-02-11,36926000
2021-02-15,83922000
2021-02-16,47221000
2021-02-17,66011500
2021-02-18,91204000
2021-02-19,70487500
2021-02-22,68913000
2021-02-23,58360000
2021-02-24,71869000
2021-02-25,78688000
2021-02-26,173631500
2021-03-01,205539000
2021-03-02,81446500
2021-03-03,84470000
2021-03-04,120802500
2021-03-05,111871500
2021-03-08,90883000
2021-03-09,135582000
2021-03-10,50302000
2021-03-12,74328000
2021-03-15,57416000
2021-03-16,70755500
2021-03-17,71474500
2021-03-18,70067500
2021-03-19,125853000
2021-03-22,67523500
2021-03-23,127762500
2021-03-24,152050000
2021-03-25,119101500
2021-03-26,134467500
2021-03-29,113370500
2021-03-30,83115500
2021-03-31,223390500
2021-04-01,112286000
2021-04-05,73311500
2021-04-06,80215000
2021-04-07,107908000
2021-04-08,123697500
2021-04-09,116961000
2021-04-12,110411500
2021-04-13,119211500
2021-04-14,135519500
2021-04-15,102686500
2021-04-16,79293500
2021-04-19,47095000
2021-04-20,72721000
2021-04-21,68397000
2021-04-22,63758000
2021-04-23,108498500
2021-04-26,108742000
2021-04-27,132650000
2021-04-28,87660000
2021-04-29,57355000
2021-04-30,65829500
2021-05-03,42065500
2021-05-04,50123500
2021-05-05,51685000
2021-05-06,38115500
2021-05-07,48864000
2021-05-10,68180500
2021-05-11,70680000
2021-05-17,129058500
2021-05-18,73563000
2021-05-19,64912500
2021-05-20,64950000
2021-05-21,92620000
2021-05-24,59210000
2021-05-25,87470000
2021-05-27,537971500
2021-05-28,102108500
2021-05-31,101442000
2021-06-02,141732500
2021-06-03,133810500
2021-06-04,62108500
2021-06-07,62576000
2021-06-08,64348000
2021-06-09,77198000
2021-06-10,73262500
2021-06-11,72780500
2021-06-14,61478500
2021-06-15,87799000
2021-06-16,48984000
2021-06-17,68448500
2021-06-18,118043000
2021-06-21,60823500
2021-06-22,65824000
2021-06-23,52451000
2021-06-24,56010000
2021-06-25,68939500
2021-06-28,84420500
2021-06-29,53704000
2021-06-30,65795000
2021-07-01,58153000
2021-07-02,67392500
2021-07-05,39710500
2021-07-06,34279500
2021-07-07,35595000
2021-07-08,47297000
2021-07-09,40707500
2021-07-12,65981500
2021-07-13,65946500
2021-07-14,59321000
2021-07-15,49724000
2021-07-16,47998500
2021-07-19,47119000
2021-07-21,55009500
2021-07-22,60792000
2021-07-23,79938000
2021-07-26,48171500
2021-07-27,53107500
2021-07-28,74133000
2021-07-29,84605000
2021-07-30,105685000
2021-08-02,119981500
2021-08-03,110071500
2021-08-04,41112000
2021-08-05,93768000
2021-08-06,67285000
2021-08-09,52858500
2021-08-10,60446000
2021-08-12,118325500
2021-08-13,86929000
2021-08-16,69282000
2021-08-18,186354500
2021-08-19,100926000
2021-08-20,120163500
2021-08-23,68253000
2021-08-24,59561500
2021-08-25,80751500
2021-08-26,74337000
2021-08-27,71572500
2021-08-30,74564500
2021-08-31,115373500
2021-09-01,67362500
2021-09-02,53257000
2021-09-03,35764500
2021-09-06,36780000
2021-09-07,53902000
2021-09-08,77888000
2021-09-09,110074000
2021-09-10,41483500
2021-09-13,29929000
2021-09-14,51990500
2021-09-15,44514000
2021-09-16,58672500
2021-09-17,117540000
2021-09-20,73157500
2021-09-21,57115500
2021-09-22,68722000
2021-09-23,60998500
2021-09-24,60539500
2021-09-27,55052500
2021-09-28,80186000
2021-09-29,74079000
2021-09-30,156848000
2021-10-01,103954500
2021-10-04,74719000
2021-10-05,54986500
2021-10-06,174312000
2021-10-07,107263500
2021-10-08,94643500
2021-10-11,47201000
2021-10-12,91067000
2021-10-13,210893300
2021-10-14,138811900
2021-10-15,142378200
2021-10-18,116644300
2021-10-19,134601200
2021-10-21,106120100
2021-10-22,96730700
2021-10-25,60329800
2021-10-26,70103000
2021-10-27,57067000
2021-10-28,75271900
2021-10-29,60639200
2021-11-01,38593400
2021-11-02,90535400
2021-11-03,61621500
2021-11-04,61081400
2021-11-05,43120400
2021-11-08,85441700
2021-11-09,101785800
2021-11-10,47503900
2021-11-11,55790000
2021-11-12,52590100
2021-11-15,67344200
2021-11-16,98616900
2021-11-17,61968100
2021-11-18,78839600
2021-11-19,68203700
2021-11-22,66328300
2021-11-23,43477500
2021-11-24,35181400
2021-11-25,40216100
2021-11-26,113288400
2021-11-29,87907900
2021-11-30,144923700
2021-12-01,76538100
2021-12-02,66831000
2021-12-03,63283700
2021-12-06,56944100
2021-12-07,51258200
2021-12-08,74775000
2021-12-09,54886400
2021-12-10,91092400
2021-12-13,59977100
2021-12-14,49763600
2021-12-15,52477600
2021-12-16,95171400
2021-12-17,107096800
2021-12-20,74753000
2021-12-21,52386100
2021-12-22,33232000
2021-12-23,37136400
2021-12-24,30802100
2021-12-27,20722100
2021-12-28,39343800
2021-12-29,42079500
2021-12-30,49954700
2022-01-03,54287400
2022-01-04,70624000
2022-01-05,76164900
2022-01-06,63657100
2022-01-07,143433300
2022-01-10,45351900
2022-01-11,110334600
2022-01-12,62606000
2022-01-13,50025200
2022-01-14,65898700
2022-01-17,63902600
2022-01-18,71476300
2022-01-19,60389700
2022-01-20,59925500
2022-01-21,63370500
2022-01-24,40278300
2022-01-25,106796900
2022-01-26,53350200
2022-01-27,71945100
2022-01-28,70595000
2022-01-31,68122000
2022-02-02,65308100
2022-02-03,35100600
2022-02-04,39324700
2022-02-07,56813200
2022-02-08,61883100
2022-02-09,108922200
2022-02-10,93277000
2022-02-11,71968800
2022-02-14,57710700
2022-02-15,55617000
2022-02-16,77055100
2022-02-17,48704600
2022-02-18,56813400
2022-02-21,43821700
2022-02-22,80095500
2022-02-23,99240300
2022-02-24,124947700
2022-02-25,135899900
2022-03-01,136616800
2022-03-02,100301000
2022-03-04,132983400
2022-03-07,130990900
2022-03-08,119256500
2022-03-09,132814500
2022-03-10,86484000
2022-03-11,61053900
2022-03-14,78432100
2022-03-15,111214500
2022-03-16,149761300
2022-03-17,132439400
2022-03-18,143981700
2022-03-21,85485500
2022-03-22,60010900
2022-03-23,82208000
2022-03-24,95245100
2022-03-25,85101200
2022-03-28,83911500
2022-03-29,62180600
2022-03-30,71430600
2022-03-31,112691900
2022-04-01,105575400
2022-04-04,57321200
2022-04-05,48528300
2022-04-06,119263000
2022-04-07,68619400
2022-04-08,69791600
2022-04-11,62776200
2022-04-12,73471300
2022-04-13,57622100
2022-04-14,93342900
2022-04-18,68464700
2022-04-19,98632000
2022-04-20,124388800
2022-04-21,129323400
2022-04-22,85956100
2022-04-25,91279600
2022-04-26,128360900
2022-04-27,89463100
2022-04-28,133730600
2022-05-09,456796600
2022-05-10,268445700
2022-05-11,156535200
2022-05-12,240529600
2022-05-13,212968600
2022-05-17,159657600
2022-05-18,153514300
2022-05-19,140908900
2022-05-20,86520200
2022-05-23,71603500
2022-05-24,108710800
2022-05-25,76747400
2022-05-27,84336900
2022-05-30,105411400
2022-05-31,286292700
2022-06-02,149226300
2022-06-03,80563100
2022-06-06,81140300
2022-06-07,129242500
2022-06-08,108910500
2022-06-09,107828300
2022-06-10,111768600
2022-06-13,85539500
2022-06-14,80865100
2022-06-15,130367100
2022-06-16,132666300
2022-06-17,117839400
2022-06-20,88138700
2022-06-21,44295700
2022-06-22,53041800
2022-06-23,60443000
2022-06-24,57956600
2022-06-27,76354100
2022-06-28,146078100
2022-06-29,98517800
2022-06-30,101343900
2022-07-01,68738800
2022-07-04,102238600
2022-07-05,69172900
2022-07-06,66801100
2022-07-07,86126800
2022-07-08,64312400
2022-07-11,36830800
2022-07-12,34269000
2022-07-13,71988200
2022-07-14,83316300
2022-07-15,57419900
2022-07-18,60077700
2022-07-19,59641000
2022-07-20,105792900
2022-07-21,64337100
2022-07-22,38956500
2022-07-25,31247600
2022-07-26,44379900
2022-07-27,58465500
2022-07-28,86909700
2022-07-29,131553000
2022-08-01,104841600
2022-08-02,106466900
2022-08-03,60170600
2022-08-04,164221000
2022-08-05,118734200
2022-08-08,84328900
2022-08-09,92875800
2022-08-10,104376300
2022-08-11,73204700
2022-08-12,59381200
2022-08-15,81411000
2022-08-16,83556700
2022-08-18,86136900
2022-08-19,58194900
2022-08-22,97293300
2022-08-23,71671800
2022-08-24,108892400
2022-08-25,99503500
2022-08-26,80472400
2022-08-29,57762100
2022-08-30,124467000
2022-08-31,137659900
2022-09-01,74960800
2022-09-02,71430600
2022-09-05,62906000
2022-09-06,67079900
2022-09-07,117931700
2022-09-08,132777400
2022-09-09,91234600
2022-09-12,52395300
2022-09-13,124485200
2022-09-14,116642400
2022-09-15,190404800
2022-09-16,363127600
2022-09-19,102530600
2022-09-20,89238400
2022-09-21,90933700
2022-09-22,61908500
2022-09-23,60567600
2022-09-26,106228200
2022-09-27,89567100
2022-09-28,89153400
2022-09-29,62643700
2022-09-30,176524800
2022-10-03,115079600
2022-10-04,80524500
2022-10-05,63788000
2022-10-06,43967400
2022-10-07,112043400
2022-10-10,80238200
2022-10-11,64060000
2022-10-12,47569700
2022-10-13,62282800
2022-10-14,70642900
2022-10-17,56387500
2022-10-18,85665300
2022-10-19,66753500
2022-10-20,91812300
2022-10-21,122777800
2022-10-24,89416500
2022-10-25,84696300
2022-10-26,98962100
2022-10-27,77003400
2022-10-28,84980600
2022-10-31,138922800
2022-11-01,118118400
2022-11-02,68323600
2022-11-03,81856300
2022-11-04,84458300
2022-11-07,94794000
2022-11-08,42525500
2022-11-09,96599500
2022-11-10,89463000
2022-11-11,59597900
2022-11-14,49208200
2022-11-15,59092900
2022-11-16,143424800
2022-11-17,72679800
2022-11-18,83556900
2022-11-21,35901000
2022-11-22,84684200
2022-11-23,84642100
2022-11-24,53520800
2022-11-25,75048300
2022-11-28,96209700
2022-11-29,91562100
2022-11-30,644359600
2022-12-01,155775400
2022-12-02,130982100
2022-12-05,114656300
2022-12-06,180553800
2022-12-07,229308700
2022-12-08,172590100
2022-12-09,90851300
2022-12-12,102851800
2022-12-13,104580200
2022-12-14,118164300
2022-12-15,113255700
2022-12-16,181516700
2022-12-19,67482900
2022-12-20,41243700
2022-12-21,33617700
2022-12-22,59591500
2022-12-23,47393000
2022-12-26,20495900
2022-12-27,27193800
2022-12-28,40420200
2022-12-29,47020900
2022-12-30,44681400
2023-01-02,10653900
2023-01-03,27399100
2023-01-04,90918800
2023-01-05,128838500
2023-01-06,69286600
2023-01-09,86916900
2023-01-10,101759100
2023-01-11,96069100
2023-01-12,103804600
2023-01-13,119748200
2023-01-16,105710700
2023-01-17,88695900
2023-01-18,96814600
2023-01-19,66391800
2023-01-20,96859500
2023-01-24,42474500
2023-01-25,66124500
2023-01-26,77582300
2023-01-27,196804700
2023-01-30,68544300
2023-01-31,200589000
2023-02-01,77396200
2023-02-02,99109500
2023-02-03,71716700
2023-02-06,117757700
2023-02-07,116014700
2023-02-08,54495500
2023-02-09,72381700
2023-02-10,62060900
2023-02-13,63775000
2023-02-14,81678200
2023-02-15,38037000
2023-02-16,66040400
2023-02-17,43588900
2023-02-20,40077000
2023-02-21,25390500
2023-02-22,38671900
2023-02-23,53412300
2023-02-24,44123400
2023-02-27,59983900
2023-02-28,106349400
2023-03-01,67034700
2023-03-02,56672000
2023-03-03,95376900
2023-03-06,92652000
2023-03-07,106115600
2023-03-08,79350900
2023-03-09,54201400
2023-03-10,59580100
2023-03-13,82077700
2023-03-14,90495300
2023-03-15,86747400
2023-03-16,105894000
2023-03-17,198558600
2023-03-20,37277900
2023-03-21,91617400
2023-03-24,145603600
2023-03-27,110692800
2023-03-28,98296600
2023-03-29,101068200
2023-03-30,118912100
2023-03-31,97146900
2023-04-03,60288900
2023-04-04,60975800
2023-04-05,36922100
2023-04-06,45489400
2023-04-10,32996000
2023-04-11,44554300
2023-04-12,91903600
2023-04-13,51726500
2023-04-14,110354200
2023-04-17,83946900
2023-04-18,91178700
2023-04-26,186928200
2023-04-27,54842400
2023-04-28,145775300
2023-05-02,83645900
2023-05-03,83728800
2023-05-04,67565000
2023-05-05,64815100
2023-05-08,84754500
2023-05-09,40929600
2023-05-10,45322600
2023-05-11,81993900
2023-05-12,96525600
2023-05-15,64830300
2023-05-16,49497000
2023-05-17,69996100
2023-05-19,123592500
2023-05-22,91000000
2023-05-23,102980500
2023-05-24,77392900
2023-05-25,76325700
2023-05-26,55675900
2023-05-29,79148200
2023-05-30,97189500
2023-05-31,722827900
2023-06-05,163535600
2023-06-06,74872200
2023-06-07,87492200
2023-06-08,53188400
2023-06-09,44632400
2023-06-12,38082300
2023-06-13,45552600
2023-06-14,72223700
2023-06-15,59073000
2023-06-16,112769400
2023-06-19,32330600
2023-06-20,54990100
2023-06-21,42676300
2023-06-22,48291100
2023-06-23,47813500
2023-06-26,36389900
2023-06-27,36225100
2023-07-03,108855900
2023-07-04,35049300
2023-07-05,44609200
2023-07-06,52532400
2023-07-07,37641300
2023-07-10,28981500
2023-07-11,43703500
2023-07-12,61566500
2023-07-13,65230900
2023-07-14,55554500
2023-07-17,62550100
2023-07-18,52924600
2023-07-20,83476600
2023-07-21,42667800
2023-07-24,62061200
2023-07-25,122802700
2023-07-26,113868700
2023-07-27,77848400
2023-07-28,74510200
2023-07-31,80868000
2023-08-01,49756400
2023-08-02,60629900
2023-08-03,64596100
2023-08-04,52675900
2023-08-07,55589300
2023-08-08,43373400
2023-08-09,77056800
2023-08-10,76738100
2023-08-11,68898600
2023-08-14,75495400
2023-08-15,59303700
2023-08-16,53440000
2023-08-18,79328900
2023-08-21,73573000
2023-08-22,65664600
2023-08-23,63749800
2023-08-24,53725900
2023-08-25,50379000
2023-08-28,44423100
2023-08-29,45428500
2023-08-30,56227000
2023-08-31,136107200
2023-09-01,42152700
2023-09-04,40610600
2023-09-05,42007200
2023-09-06,49318400
2023-09-07,61405200
2023-09-08,80732300
2023-09-11,53155900
2023-09-12,66479000
2023-09-13,69490200
2023-09-14,112757900
2023-09-15,121005300
2023-09-18,34272200
2023-09-19,33325800
2023-09-20,54305500
2023-09-21,40607000
2023-09-22,42445300
2023-09-25,56132200
2023-09-26,73544700
2023-09-27,84345000
2023-09-29,118960000
2023-10-02,93663000
2023-10-03,98380200
2023-10-04,112582800
2023-10-05,72855700
2023-10-06,53344400
2023-10-09,43774500
2023-10-10,71966100
2023-10-11,84305800
2023-10-12,71064500
2023-10-13,62941800
2023-10-16,29429200
2023-10-17,59606000
2023-10-18,50919200
2023-10-19,89509700
2023-10-20,64554500
2023-10-23,50633500
2023-10-24,76963200
2023-10-25,54748400
2023-10-26,63199400
2023-10-27,52450700
2023-10-30,51958200
2023-10-31,64907600
2023-11-01,67027600
2023-11-02,56050900
2023-11-03,60414100
2023-11-06,84994200
2023-11-07,60648200
2023-11-08,31829300
2023-11-09,46076800
2023-11-10,50754600
2023-11-13,20827700
2023-11-14,37195700
2023-11-15,84977900
2023-11-16,48714300
2023-11-17,57050500
2023-11-20,49216000
2023-11-21,107614800
2023-11-22,40364800
2023-11-23,55542100
2023-11-24,43631900
2023-11-27,35679000
2023-11-28,69070600
2023-11-29,54715600
2023-11-30,205312100
2023-12-01,80566400
2023-12-04,54747400
2023-12-05,94363900
2023-12-06,81852800
2023-12-07,91322500
2023-12-08,43891600
2023-12-11,78642800
2023-12-12,87589300
2023-12-13,51560500
2023-12-14,115332800
2023-12-15,275013500
2023-12-18,111712200
2023-12-19,65174500
2023-12-20,72938100
2023-12-21,88116700
2023-12-22,64449600
2023-12-27,64464700
2023-12-28,70184600
2023-12-29,79903400
2024-01-02,30545200
2024-01-03,34603300
2024-01-04,56501800
2024-01-05,85290100
2024-01-08,50896000
2024-01-09,59848600
2024-01-10,52774900
2024-01-11,39381500
2024-01-12,68253400
2024-01-15,88399500
2024-01-16,44869200
2024-01-17,107706100
2024-01-18,71048900
2024-01-19,63176500
2024-01-22,52868300
2024-01-23,92348600
2024-01-24,84906000
2024-01-25,63212700
2024-01-26,78977300
2024-01-29,73452800
2024-01-30,73136400
2024-01-31,102581200
2024-02-01,104208700
2024-02-02,99324000
2024-02-05,57983300
2024-02-06,87651000
2024-02-07,92953500
2024-02-12,87949400
2024-02-13,66072400
2024-02-15,164748900
2024-02-16,142277200
2024-02-19,53341300
2024-02-20,63997700
2024-02-21,75371600
2024-02-22,66913000
2024-02-23,55192300
2024-02-26,41356000
2024-02-27,43735800
2024-02-28,54043100
2024-02-29,126671200
2024-03-01,51520600
2024-03-04,43822900
2024-03-05,61952900
2024-03-06,70242200
2024-03-07,118369300
2024-03-08,100947200
2024-03-13,141622600
2024-03-14,110681100
2024-03-15,154176800
2024-03-18,62444100
2024-03-19,55004800
2024-03-20,66269700
2024-03-21,90279400
2024-03-22,91968200
