Date,High
2019-01-01,3327.21533203125
2019-01-02,3309.03369140625
2019-01-03,3309.03369140625
2019-01-04,3327.21533203125
2019-01-07,3372.6689453125
2019-01-08,3345.396728515625
2019-01-09,3399.941162109375
2019-01-10,3409.031982421875
2019-01-11,3427.213623046875
2019-01-14,3445.39501953125
2019-01-15,3445.39501953125
2019-01-16,3454.48583984375
2019-01-17,3490.848876953125
2019-01-18,3499.939453125
2019-01-21,3481.758056640625
2019-01-22,3445.39501953125
2019-01-23,3463.576416015625
2019-01-24,3463.576416015625
2019-01-25,3472.667236328125
2019-01-28,3445.39501953125
2019-01-29,3472.667236328125
2019-01-30,3418.122802734375
2019-01-31,3518.12109375
2019-02-01,3572.66552734375
2019-02-04,3590.84716796875
2019-02-05,3545.393310546875
2019-02-06,3581.75634765625
2019-02-07,3572.66552734375
2019-02-08,3554.484130859375
2019-02-11,3563.57470703125
2019-02-12,3545.393310546875
2019-02-13,3536.302490234375
2019-02-14,3499.939453125
2019-02-15,3490.848876953125
2019-02-18,3509.0302734375
2019-02-19,3636.30078125
2019-02-20,3581.75634765625
2019-02-21,3581.75634765625
2019-02-22,3554.484130859375
2019-02-25,3609.028564453125
2019-02-26,3609.028564453125
2019-02-27,3563.57470703125
2019-02-28,3518.12109375
2019-03-01,3536.302490234375
2019-03-04,3563.57470703125
2019-03-05,3545.393310546875
2019-03-06,3563.57470703125
2019-03-07,3545.393310546875
2019-03-08,3527.2119140625
2019-03-11,3545.393310546875
2019-03-12,3536.302490234375
2019-03-13,3463.576416015625
2019-03-14,3499.939453125
2019-03-15,3590.84716796875
2019-03-18,3663.572998046875
2019-03-19,3681.754638671875
2019-03-20,3645.3916015625
2019-03-21,3672.663818359375
2019-03-22,3699.93603515625
2019-03-25,3672.663818359375
2019-03-26,3709.02685546875
2019-03-27,3709.02685546875
2019-03-28,3709.02685546875
2019-03-29,3763.5712890625
2019-04-01,3781.7529296875
2019-04-02,3790.843505859375
2019-04-03,3772.662109375
2019-04-04,3890.841796875
2019-04-05,3899.9326171875
2019-04-08,3899.9326171875
2019-04-09,3954.47705078125
2019-04-10,3927.204833984375
2019-04-11,3927.204833984375
2019-04-12,3927.204833984375
2019-04-15,3963.56787109375
2019-04-16,3963.56787109375
2019-04-17,3945.386474609375
2019-04-18,4299.92578125
2019-04-19,4054.475341796875
2019-04-22,4054.475341796875
2019-04-23,4045.384765625
2019-04-24,4027.203125
2019-04-25,3990.840087890625
2019-04-26,3963.56787109375
2019-04-29,3954.47705078125
2019-04-30,4009.021728515625
2019-05-01,3972.65869140625
2019-05-02,4018.1123046875
2019-05-03,3999.930908203125
2019-05-06,3909.0234375
2019-05-07,3890.841796875
2019-05-08,3863.569580078125
2019-05-09,3781.7529296875
2019-05-10,3781.7529296875
2019-05-13,3763.5712890625
2019-05-14,3718.11767578125
2019-05-15,3690.845458984375
2019-05-16,3627.2099609375
2019-05-17,3554.484130859375
2019-05-20,3499.939453125
2019-05-21,3490.848876953125
2019-05-22,3481.758056640625
2019-05-23,3536.302490234375
2019-05-24,3572.66552734375
2019-05-27,3609.028564453125
2019-05-28,3590.84716796875
2019-05-29,3590.84716796875
2019-05-30,3581.75634765625
2019-05-31,3745.389892578125
2019-06-03,3727.208251953125
2019-06-04,3727.208251953125
2019-06-05,3727.208251953125
2019-06-06,3727.208251953125
2019-06-07,3727.208251953125
2019-06-10,3881.751220703125
2019-06-11,3863.569580078125
2019-06-12,3827.20654296875
2019-06-13,3863.569580078125
2019-06-14,3854.478759765625
2019-06-17,3863.569580078125
2019-06-18,3872.660400390625
2019-06-19,3945.386474609375
2019-06-20,3936.295654296875
2019-06-21,3963.56787109375
2019-06-24,3954.47705078125
2019-06-25,3954.47705078125
2019-06-26,3972.65869140625
2019-06-27,3990.840087890625
2019-06-28,3999.930908203125
2019-07-01,4018.1123046875
2019-07-02,4018.1123046875
2019-07-03,4018.1123046875
2019-07-04,3999.930908203125
2019-07-05,4018.1123046875
2019-07-08,4009.021728515625
2019-07-09,4009.021728515625
2019-07-10,4072.656982421875
2019-07-11,4127.20166015625
2019-07-12,4127.20166015625
2019-07-15,4145.3828125
2019-07-16,4136.2919921875
2019-07-17,4136.2919921875
2019-07-18,4099.92919921875
2019-07-19,4081.74755859375
2019-07-22,4099.92919921875
2019-07-23,4090.83837890625
2019-07-24,4109.02001953125
2019-07-25,4072.656982421875
2019-07-26,4063.566162109375
2019-07-29,4072.656982421875
2019-07-30,4090.83837890625
2019-07-31,4099.92919921875
2019-08-01,4099.92919921875
2019-08-02,4063.566162109375
2019-08-05,4018.1123046875
2019-08-06,3827.20654296875
2019-08-07,3899.9326171875
2019-08-08,3927.204833984375
2019-08-09,3954.47705078125
2019-08-12,3981.74951171875
2019-08-13,3936.295654296875
2019-08-14,3954.47705078125
2019-08-15,3890.841796875
2019-08-16,3872.660400390625
2019-08-19,3836.29736328125
2019-08-20,3818.115966796875
2019-08-21,3790.843505859375
2019-08-22,3763.5712890625
2019-08-23,3727.208251953125
2019-08-26,3699.93603515625
2019-08-27,3827.20654296875
2019-08-28,3854.478759765625
2019-08-29,3836.29736328125
2019-08-30,3881.751220703125
2019-09-02,3890.841796875
2019-09-03,3881.751220703125
2019-09-04,3799.934326171875
2019-09-05,3845.38818359375
2019-09-06,3899.9326171875
2019-09-09,3899.9326171875
2019-09-10,3809.025146484375
2019-09-11,3872.660400390625
2019-09-12,3954.47705078125
2019-09-13,3927.204833984375
2019-09-16,3899.9326171875
2019-09-17,3863.569580078125
2019-09-18,3872.660400390625
2019-09-19,3845.38818359375
2019-09-20,3836.29736328125
2019-09-23,3818.115966796875
2019-09-24,3781.7529296875
2019-09-25,3745.389892578125
2019-09-26,3827.20654296875
2019-09-27,3827.20654296875
2019-09-30,3818.115966796875
2019-10-01,3754.480712890625
2019-10-02,3718.11767578125
2019-10-03,3536.302490234375
2019-10-04,3599.937744140625
2019-10-07,3627.2099609375
2019-10-08,3599.937744140625
2019-10-09,3627.2099609375
2019-10-10,3627.2099609375
2019-10-11,3599.937744140625
2019-10-14,3618.119384765625
2019-10-15,3609.028564453125
2019-10-16,3627.2099609375
2019-10-17,3681.754638671875
2019-10-18,3809.025146484375
2019-10-21,3809.025146484375
2019-10-22,3763.5712890625
2019-10-23,3799.934326171875
2019-10-24,3909.0234375
2019-10-25,3927.204833984375
2019-10-28,3872.660400390625
2019-10-29,3863.569580078125
2019-10-30,3872.660400390625
2019-10-31,3854.478759765625
2019-11-01,3836.29736328125
2019-11-04,3827.20654296875
2019-11-05,3909.0234375
2019-11-06,3936.295654296875
2019-11-07,3781.7529296875
2019-11-08,3663.572998046875
2019-11-11,3636.30078125
2019-11-12,3663.572998046875
2019-11-13,3645.3916015625
2019-11-14,3609.028564453125
2019-11-15,3727.208251953125
2019-11-18,3763.5712890625
2019-11-19,3809.025146484375
2019-11-20,3872.660400390625
2019-11-21,3845.38818359375
2019-11-22,3863.569580078125
2019-11-25,3799.934326171875
2019-11-26,3799.934326171875
2019-11-27,3827.20654296875
2019-11-28,3790.843505859375
2019-11-29,3745.389892578125
2019-12-02,3827.20654296875
2019-12-03,3836.29736328125
2019-12-04,3818.115966796875
2019-12-05,3845.38818359375
2019-12-06,3863.569580078125
2019-12-09,3827.20654296875
2019-12-10,3799.934326171875
2019-12-11,3827.20654296875
2019-12-12,3881.751220703125
2019-12-13,3899.9326171875
2019-12-16,3954.47705078125
2019-12-17,3963.56787109375
2019-12-18,3999.930908203125
2019-12-19,3972.65869140625
2019-12-20,3972.65869140625
2019-12-23,4063.566162109375
2019-12-26,4045.384765625
2019-12-27,4036.2939453125
2019-12-30,4045.384765625
2020-01-02,4009.021728515625
2020-01-03,4036.2939453125
2020-01-06,3990.840087890625
2020-01-07,4009.021728515625
2020-01-08,3999.930908203125
2020-01-09,4018.1123046875
2020-01-10,4027.203125
2020-01-13,4099.92919921875
2020-01-14,4181.74609375
2020-01-15,4163.564453125
2020-01-16,4172.6552734375
2020-01-17,4218.10888671875
2020-01-20,4263.5625
2020-01-21,4254.47216796875
2020-01-22,4281.744140625
2020-01-23,4327.19775390625
2020-01-24,4318.107421875
2020-01-27,4272.6533203125
2020-01-28,4218.10888671875
2020-01-29,4236.29052734375
2020-01-30,4272.6533203125
2020-01-31,4163.564453125
2020-02-03,4081.74755859375
2020-02-04,4263.5625
2020-02-05,4163.564453125
2020-02-06,4172.6552734375
